username,tweet,waktu,likes,retweets,replies,tweet_link
J.,J. J. @EXARYJennie · @geboyplek Banjir bandang : oon. 12 12 12,01-01-2025 03:12,0,0,0,https://x.com/EXARYJennie/status/1874186832940065095
gab ✩✮,"gab ✩✮ gab ✩ ✮ @skiesoftreasure · ide siapa gabungin sukhoon sama wtts day6………….  banjir bandang  ini mata gue 밤_ばむ 밤_ばむ @0302Ateen · ⟡.· ⎯⎯⎯ 보석들의 중심, 고마워요 ⎯⎯⎯ ⟡.· #TREASURE #TREASURE #HYUNSUK #HYUNSUK #JIHOON #JIHOON 1:01 1:01 1 1 1 1 1 1 150 150 150",01-01-2025 02:29,0,0,0,https://x.com/skiesoftreasure/status/1874176153579381020
Ruby.,Ruby. Ruby. @echoctavias · @echoctavias Makasih udh mau masuk kpop ya guys kalo gaada kalian hidup gw mungkin penuh dgn awan gelap puting beliung tornado  banjir bandang  hujan badai meteor jatuh dinosaurus bangkit lagi aspal terbelah. I love you big time #jungzuseok 1 1 1 158 158 158,01-01-2025 01:29,0,0,0,https://x.com/echoctavias/status/1874160917371609135
EVAN.,"EVAN. EVAN. @Haeeseung · @Harni LEBAAY,  banjir bandang  sampai bisa bikin danau ga? Makasih ya Acel udah mau temenan sama Abaaang. Abang seneng bisa akrab sama Acel, tolong langgeng sama cowomu itu.. kalo ada yang jahatin Acel, laporin ke Abang yaaa. 19 19 19",01-01-2025 00:22,0,0,0,https://x.com/Haeeseung/status/1874144107985330390
BeritaSatu,"BeritaSatu BeritaSatu @Beritasatu · Jelang Tahun Baru 2025,  Banjir Bandang  Terjang Desa Cerme di Kediri Jelang Tahun Baru 2025, Banjir Bandang Terjang Desa Cerme di Kediri 1 1 1 2 2 2 831 831 831",31-12-2024 23:07,0,0,0,https://x.com/Beritasatu/status/1874125125840191606
metropolis chanel,metropolis chanel metropolis chanel @metropolisdotid · Pangdam IM Kerahkan Personel Bantu Penanganan  Banjir Bandang  di Aceh Tenggara Banjir Bandang 19 19 19,31-12-2024 22:27,0,0,0,https://x.com/metropolisdotid/status/1874115071380754875
FPMKI,FPMKI FPMKI @InfoFPMKI · Kondisi Saat Ini Di Desa Suka Makmur Kec Semadam Kabupaaten Aceh Tenggara 1 Hari Paska  Banjir Bandang . 7 7 7 14 14 14 759 759 759,31-12-2024 17:39,0,0,0,https://x.com/InfoFPMKI/status/1874042745792377028
Nora^᪲᪲᪲,"Nora^᪲᪲᪲ Nora^᪲᪲᪲ @painterwhale · Bapak ini kalau mau ngomong jangan asal ngomong pak, iya dia pohon. Tapi,lihat akibat dari maraknya penanaman sawit hingga ke gunung²... Daerah yg dulunya gak ada itu  banjir  atau longsor jadi longsor hingga  banjir bandang . :D Jejak digital. Jejak digital. @ARSIPAJA · Prabowo:
""Saya kira ke depan kita juga harus tambah tanam kelapa sawit, nggak usah takut apa itu namanya membahayakan, deforestation.
Namanya kelapa sawit ya pohon, ya kan? Benar nggak? Kelapa sawit itu pohon, ada daunnya kan?""   x.com/kompascom/stat… 35 35 35",31-12-2024 16:56,0,0,0,https://x.com/painterwhale/status/1874031982180810778
°°❀⋆ Clemy broken heart .ೃ࿔*:･,"°°❀⋆ Clemy broken heart .ೃ࿔*:･ °°❀⋆ Clemy broken heart .ೃ࿔*:･ @siapfertilisasi · Tenggelam  banjir bandang ,
Waalaikumsalam pecundang Reä Reä @andreaaclay · Parody account @andreaaclay @andreaaclay 05. 100 100 100",31-12-2024 16:54,0,0,0,https://x.com/siapfertilisasi/status/1874031479686414775
cherry,cherry cherry @yesiamsqu · Bener2 sekti tenan Definisi ombak gede tak sebrangi  banjir bandang  tak tataki 41 41 41,31-12-2024 16:30,0,0,0,https://x.com/yesiamsqu/status/1874025307457675526
