username,tweet,waktu,likes,retweets,replies,tweet_link
Munasyaroh Fadhilah,"Munasyaroh Fadhilah Munasyaroh Fadhilah @Munasyaroh_Fadh · @istrimaswahib Bilangin ajah, zaman dulu belum ada plastik yang merajala.  Air  putih masih murni belum banyak terkontaminasi  pencemaran  tanah. Sekarang banyak plastik yg bikin  air  tercemar, baik yg krn ditimbun juga karena dibakar. 1 1 1 19 19 19",01-01-2024 04:32,0,0,0,https://x.com/Munasyaroh_Fadh/status/1741573134443249869
DarthJoke,"DarthJoke DarthJoke @cikajang1278 · @Niel_Irvingia01 emang lu belajar ilmu ini semua? atau jargon doang?
 
""Bgmn memecahkan mslh Ledakkan Penduduk, Kenaikan  air  laut, Pemanasan Global, Penurunan produksi Ikan, Patogen, Sanitasi, Krisis energi,  Pencemaran  dll dll"" 1 1 1 24 24 24",31-12-2023 16:46,0,0,0,https://x.com/cikajang1278/status/1741395270020305115
Niel Irvingia,"Niel Irvingia Niel Irvingia @Niel_Irvingia01 · Pemikiran  #RasionalSains  dia masih bekutat ama ilmu klasik sebatas fisika, kimia, Biologi.

Bgmn memecahkan mslh Ledakkan Penduduk, Kenaikan  air  laut, Pemanasan Global, Penurunan produksi Ikan, Patogen, Sanitasi, Krisis energi,  Pencemaran  dll dll

Mang Cukup?
Kesiaan hihihihi DarthJoke DarthJoke @cikajang1278 · @Niel_Irvingia01 @Niel_Irvingia01 teori drmana rasional dpake utk evaluasi produk sains? 
teori fisika 
teori biologi
teori kimia
atau teori seenak dewek lu. 2 2 2 6 6 6 310 310 310",31-12-2023 16:43,0,0,0,https://x.com/Niel_Irvingia01/status/1741394593051247054
harrison,"harrison harrison @HH1548 · Tempohari saya bersama ketua kg / wakil penduduk tinjau kaw sekitar Kg Tambak Jawa. Byk aduan saya terima tentang  pencemaran  dari kilang2 ; bau busuk,  air  kotor dsb. Tapak buang sampah haram juga menjadi isu utama. Saya akan bawa isu2 ini ke tengah. #TeamHH #jeramlestari 2 2 2 4 4 4 117 117 117",28-12-2023 20:13,0,0,0,https://x.com/HH1548/status/1740360415870353685
kuliberseragam,"kuliberseragam kuliberseragam @rudihitam · @Anduin_meneth @DipoNiarto and and @ainunia Gak akan bisa bro, deterjen dan polutan lain masih contact langsung dengan tanah setiap harinya. Root cause analysisnya harus benar dulu terkait  pencemaran air  tanah. Sumur resapan oke tapi bukan untuk mendegradasi polutan  air  limbah apapun. 135 135 135",28-12-2023 05:39,0,0,0,https://x.com/rudihitam/status/1740140272372384172
ibumuda,"ibumuda ibumuda @AKafifah · @UbahBareng and and @aniesbaswedan Halo kak, aku asli Banyuwangi.Rata"" daerah selatan berprofesi sebagai petani atau nelayan. Untuk petani mereka kesulitan pembelian pupuk bersubsidi, untuk nelayan, bagaimana pemerintah bisa membantu penjualan ikan nelayan? Dan cara pak Anies menangani masalah  pencemaran air  laut 189 189 189",27-12-2023 15:22,0,0,0,https://x.com/AKafifah/status/1739924793624072458
ibumuda,"ibumuda ibumuda @AKafifah · @UbahBareng @rakhmat_mulyana and 4 others Halo kak, aku asli Banyuwangi.Rata"" daerah selatan berprofesi sebagai petani atau nelayan. Untuk petani mereka kesulitan pembelian pupuk bersubsidi, untuk nelayan, bagaimana pemerintah bisa membantu penjualan ikan nelayan? Dan cara pak Anies menangani masalah  pencemaran air  laut 1 1 1 27 27 27",27-12-2023 15:22,0,0,0,https://x.com/AKafifah/status/1739924640481648899
★,"★ ★ @JENOTalv · Dalam penelitian  pencemaran  timbal pada  air  sungai, didapatkan data bahwa setiap 10 L  air  sungai mengandung sebanyak 10 mg partikel timbal.  Jika densitas (massa jenis )  air  adalah 1 kg/L, kadar timbal dalam  air  tersebut adalah…  https:// /Vornxt/status/1739825566310961545 … This post is unavailable. 33 33 33",27-12-2023 10:12,0,0,0,https://x.com/JENOTalv/status/1739846645653926215
daggerdast,daggerdast daggerdast @daggerdast · @lilypoetry9 @dony_rhom and 3 others Jadi masalahnya di  pencemaran air  atau di pemrosesan  air  mineralnya ? 4 4 4,25-12-2023 21:49,0,0,0,https://x.com/daggerdast/status/1739297407270260836
Asta Ebrahim,"Asta Ebrahim Asta Ebrahim @jellypastaa · @jellypastaa hadeh, ini bukan tentang deforestasi aja loh. tapi jangka panjang dari membangun kota besar yang letaknya bersebelahan dengan rumah banyak satwa.

berani jamin kalau polusi dan  pencemaran  limbah ga meningkat?

pesut mahakam juga ga hidup di hutan, tapi  air  tempat mereka tinggal Show more 8 8 8 84 84 84 523 523 523 30K 30K 30K",25-12-2023 14:19,0,0,0,https://x.com/jellypastaa/status/1739183995831906348
cireng,cireng cireng @sahabatkumbang · @tanyarlfes Botol  air  mineral itu emg gk boleh dipakai berulang karena ada risiko  pencemaran  dan penyakit. Tapi kan bisa edukasi baik2 ke ibu/keluarganya untuk gak pakai botol bekas drpd ngeluh gini:/ 8 8 8,24-12-2023 03:59,0,0,0,https://x.com/sahabatkumbang/status/1738665740935537036
