username,tweet,waktu,likes,retweets,replies,tweet_link
Rava Mecca,"Rava Mecca Rava Mecca @rmecca_ · @rmecca_ Sebagai makhluk kecil, capung juga menghadapi banyak tantangan:

-Kehilangan habitat akibat urbanisasi.
- Pencemaran air , karena capung membutuhkan lingkungan  air  bersih untuk bertelur.
-Perubahan iklim yang mengganggu siklus hidup mereka.

Mari lindungi mereka dengan menjaga Show more 1 1 1 25 25 25",01-01-2025 06:06,0,0,0,https://x.com/rmecca_/status/1874230586090648046
detikcom,"detikcom detikcom @detikcom · Septic tank dan sumber  air  bersih harus dipisahkan. Ada jarak minimal yang disarankan untuk mencegah  pencemaran  dan risiko kesehatan.

via  @detik_properti Jarak Ideal Sumur Air dengan Septic Tank, Biar Nggak Tercemar 3 3 3 5 5 5 11K 11K 11K",31-12-2024 23:06,0,0,0,https://x.com/detikcom/status/1874124858311028782
Zurrr,"Zurrr Zurrr @riadizur · Di daerahku di Sumatera, perkebunan Kelapa Sawit dan industri Kelapa Sawit adalah penyebab utama berbagai masalah : kekeringan,  pencemaran air  dan udara, degradasi lahan pertanian dan kualitas tanah, kelangkaan habitat hewan dan tumbuhan, serta perubahan suhu dan iklim daerah. Jejak digital. Jejak digital. @ARSIPAJA · Prabowo:
""Saya kira ke depan kita juga harus tambah tanam kelapa sawit, nggak usah takut apa itu namanya membahayakan, deforestation.
Namanya kelapa sawit ya pohon, ya kan? Benar nggak? Kelapa sawit itu pohon, ada daunnya kan?""   x.com/kompascom/stat… 1 1 1 108 108 108",31-12-2024 13:27,0,0,0,https://x.com/riadizur/status/1873979149263704403
Yuda Amara,Yuda Amara Yuda Amara @yudaamaraa · @aimr0d Anjing abs ngeseks kaga bersih² malah lgsg  makan trus berenang anjing bikin  pencemaran  a ir   kesian yg bersihin kolem ada tai ngambang 175 175 175,31-12-2024 12:50,0,0,0,https://x.com/yudaamaraa/status/1873969979508613186
Toni,"Toni Toni @inotkurniawan · @ARSIPAJA Iya sawit itu pohon. Tapi yg namanya hutan itu pohonnya macem2 dan ga homogen. Sawit lebih cocok disebut kebun. Belum lagi dampak2 negatifnya seperti  pencemaran air , erosi, penurunan unsur hara & penurunan kualitas tanah dalam jangka panjang. Presiden kok kosong  1 1 1 1 1 1 4 4 4 1.1K 1.1K 1.1K",31-12-2024 12:14,0,0,0,https://x.com/inotkurniawan/status/1873960895543685429
Gudangberita.co.id,Gudangberita.co.id Gudangberita.co.id @gudangberita2 · Pencemaran Air  Bersih di Batam: Hendra Asman Tegaskan Kelalaian Fatal BU SPAM dan PT ABH Pencemaran Air Bersih di Batam: Hendra Asman Tegaskan Kelalaian Fatal BU SPAM dan PT ABH - Gudang... 36 36 36,28-12-2024 20:34,0,0,0,https://x.com/gudangberita2/status/1872999525138530316
Citarum Harum,"Citarum Harum Citarum Harum @SatgasCitarum · Pengawasan dan Pengecekan Instalasi Pengolahan  Air  Limbah (IPAL) dari para pelaku industri terus di lakukan Satgas Citarum Harum Sektor 5 untuk menjaga  pencemaran  lingkungan.

Hal ini di lakukan Baops Sektor 5 Serma Subarno yang didampingi Dansub 3 Peltu Wahyu dan anggota— Diskominfo Jabar and 3 others Diskominfo Jabar Diskominfo Jabar 1 1 1 39 39 39",28-12-2024 17:44,0,0,0,https://x.com/SatgasCitarum/status/1872956894240973249
Siagian Irene,"Siagian Irene Siagian Irene @SIrene__94 · @orangnyanorma @Nahajang22 and 3 others Intiny gini aja yg udh d tuduh d berbagai platform aja gaada tuh lapor polisi  pencemaran  nama baik, bahkan anak ny dblng  ini anak  air  mani gajah, LBH parah lagi ad yg spill asetny dr duit haram gaada tuh d lapor.. KLO dilapor takut NY senjata makan tuan, kan BSA d audit NNTI! 1 1 1 79 79 79",28-12-2024 11:17,0,0,0,https://x.com/SIrene__94/status/1872859475952189646
Bambang Irawan,"Bambang Irawan Bambang Irawan @bambang314 · @bambang314 and and @thoriqatuna Merkuri yg sudah meresap dan mencemari tanah membuat tanaman di lokasi itu tidak bisa tumbuh. Apalagi jika tersebar dibawa aliran  air  terjadi polusi logam berat

Kemungkinan besar hal itu juga yg membuat pohon tidak bisa menahan  air  dan tanah >>banjir https:// gi/artikel/waspada-bahaya-pencemaran-merkuri-bagi-lingkungan … 19 19 19",28-12-2024 07:21,0,0,0,https://x.com/bambang314/status/1872799932102627405
memeng 2,"memeng 2 memeng 2 @DambaanA · @DambaanA pendekatan Rasulullah, dan mengerjakan proyek mandiri, karena kita berada di ambang keruntuhan ekonomi, inflasi, epidem,  pencemaran air , makanan, perang, perang bilogis, gempa bumi, gunung berapi, banjir, untuk mengatasinya, dengan izin Allah, di negara negara kita terutama timur 1 1 1 3 3 3 134 134 134",27-12-2024 03:23,0,0,0,https://x.com/DambaanA/status/1872377632727466026
Weungabe,"Weungabe Weungabe @ajannifar · @aewin86 Ente memang busuk.

Kerusakan lingkungan dgn hitungan 300T ente tahu maksudnya? Efek warga sekota:
1. Banjir, yang bisa memusnahkan perumahan.
2.  Pencemaran  sumber  air , yg bisa menyebabkan kanker dan penyakit keracunan logam berat lainnya.

Ya Tuhan, lo terbuat dari apa? 1 1 1 257 257 257",26-12-2024 22:42,0,0,0,https://x.com/ajannifar/status/1872307028175331539
