username,tweet,waktu,likes,retweets,replies,tweet_link
ZaZ,ZaZ ZaZ @ZairulZailan · @AmirudinShari Harap Tuan boleh selesaikan masalah ni. Boleh kata setiap bulan ada  pencemaran  di LRA semenyih bemula pada awal tahun ni. Pengurusan juga tidak cekap dengan mengumumkan selepas beberapa jam  air  ditutup. 171 171 171,31-12-2022 23:12,0,0,0,https://x.com/ZairulZailan/status/1609220992794259456
ZaZ,ZaZ ZaZ @ZairulZailan · Terima Kasih  @air_selangor  untuk hadiah tahun baru ni. Genap 12 bulan. 12 kali jugak  pencemaran  dekat LRA semenyih tu. Harap ada pasang azam baru la tahun baru ni 146 146 146,31-12-2022 23:06,0,0,0,https://x.com/ZairulZailan/status/1609219557427904513
sheikh zaid,sheikh zaid sheikh zaid @sheikh7aid · @air_selangor Bacaan 0 Ton telah dicatat jam 11 tadi dan  pencemaran  berjaya diatasi. Loji akan beroperasi semula 302 302 302,31-12-2022 22:42,0,0,0,https://x.com/sheikh7aid/status/1609213423321251840
Han,Han Han @preinfuse · @air_selangor Ini mesti disiasat. Kejadian  pencemaran  bau ini bukan lagi kebetulan semasa cuti umum. Adakah ini cara pekerja  air  selangor mendapatkan gaji tambahan semasa cuti umum? This is completely UNACCEPTABLE. PUBLIC DISGRACE!!! 3 3 3 231 231 231,31-12-2022 22:39,0,0,0,https://x.com/preinfuse/status/1609212553313517568
Angeliyana,Angeliyana Angeliyana @Angeliyana15 · @air_selangor Minggu lepas baru jadi  pencemaran air ..Ulang balik minggu ni tak da  air !!! Why always this happenning???? 2 2 2 446 446 446,31-12-2022 22:21,0,0,0,https://x.com/Angeliyana15/status/1609208155501912068
Pak Kaduk,Pak Kaduk Pak Kaduk @KadukMalang · @air_selangor and and @bernamadotcom Boleh tak laksanakan hukuman yg berat pada pencemar  air  ni. Rasa selangor paling banyak berlaku kes camni. Mungkin kena letak askar simpanan sepanjang sungai di selangor tuk pastikan tiada  pencemaran 10 10 10 815 815 815,31-12-2022 22:17,0,0,0,https://x.com/KadukMalang/status/1609207150446014465
EXOMalaysia,EXOMalaysia EXOMalaysia @exomalaysia_ · @null Pencemaran  bau: LRA Sungai Semenyih dihenti tugas Lembaga Urus  Air  Selangor (LUA   https:// a/pencemaran-bau-lra-sungai-semenyih-dihenti-tugas-399703 … 75 75 75,31-12-2022 22:00,0,0,0,https://x.com/exomalaysia_/status/1609202814877839364
Astro AWANI,Astro AWANI Astro AWANI @501Awani · Lembaga Urus  Air  Selangor (LUAS) mengesan berlaku  pencemaran  bau di lokasi pemantauan statik 1.5 km daripada muka sauk Jenderam Hilir. #AWANInews #AWANI745 astroawani.com astroawani.com Pencemaran bau: LRA Sungai Semenyih dihenti tugas Pencemaran bau: LRA Sungai Semenyih dihenti tugas Lembaga Urus Air Selangor (LUAS) mengesan berlaku pencemaran bau di lokasi pemantauan statik 1.5 kilometer (km) daripada muka sauk Jenderam Hilir pada jam 6.30 petang Sabtu. Lembaga Urus Air Selangor (LUAS) mengesan berlaku pencemaran bau di lokasi pemantauan statik 1.5 kilometer (km) daripada muka sauk Jenderam Hilir pada jam 6.30 petang Sabtu. 2 2 2 31 31 31 25 25 25 27K 27K 27K,31-12-2022 21:56,0,0,0,https://x.com/501Awani/status/1609201904067936257
Media Selangor,"Media Selangor Media Selangor @Media_Selangor · LUAS pantau rapi  pencemaran  bau di stesen pam  air  mentah Jenderam Hilir Sisa pencemaran pati minyak wangi dikesan, jangka dialir dalam masa empat jam - Selangorkini 2 2 2 1K 1K 1K",31-12-2022 21:33,0,0,0,https://x.com/Media_Selangor/status/1609195939964813312
UnyilKucing,"UnyilKucing UnyilKucing @UnyilKucing25 · @kurawa and and @KejaksaanRI Fokus tuch di  pencemaran air , tanah, udara dan laut oleh limbah berbahaya dan beracun. Bukannya  pencemaran  nama baik. Mangnya  pencemaran  nama baik bikin orang jadi mati? Khan enggaq ya  1 1 1 337 337 337",31-12-2022 21:24,0,0,0,https://x.com/UnyilKucing25/status/1609193776106409987
